Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
Rua José Sebastião de Sá,Jardim do Carmo,São Paulo,100,2,2,1,530000.0,2565.7894736842104,rua josé sebastião de sá,rua josé sebastião de sá,4674020.0,-23.5006764,-46.445798,POINT (-46.445798 -23.5006764),355030874000092.0
Rua Amandaba,Jardim Prudência,São Paulo,253,4,4,2,1280000.0,5508.660416335611,rua amandaba,rua amandaba,4648140.0,-21.1002194,-51.1625059,POINT (-51.1625059 -21.1002194),
"Rua Cordisburgo, 251 ",Jardim Leonor,São Paulo,850,4,8,6,6500000.0,5407.407407407408,rua cordisburgo,rua cordisburgo,5614090.0,-23.5949294,-46.7133299,POINT (-46.7133299 -23.5949294),355030854000005.0
"Rua Carlos Rath, 103 ",Alto de Pinheiros,São Paulo,400,5,4,4,2900000.0,6690.1850738290905,rua carlos rath,rua carlos rath,5462030.0,-23.561089,-46.7041773,POINT (-46.7041773 -23.561089),355030802000060.0
,Alto de Pinheiros,São Paulo,358,4,4,4,3500000.0,8333.333333333334,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Luís Ramos Figueira,Vila Suzana,São Paulo,140,3,4,2,775000.0,1183.0357142857142,rua luís ramos figueira,rua luís ramos figueira,5630120.0,-23.459523,-46.5720216,POINT (-46.5720216 -23.459523),355030839000022.0
Rua dos Aliados,Alto da Lapa,São Paulo,500,5,7,7,3500000.0,10914.634146341465,rua dos aliados,rua dos aliados,9402600.0,-23.7047376,-46.4236693,POINT (-46.4236693 -23.7047376),
,Planalto Paulista,São Paulo,119,2,2,2,670000.0,3762.798634812287,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Jardim Guedala,São Paulo,650,4,7,4,3500000.0,4453.441295546559,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
"Rua José Barbosa, 186 ",Jardim das Vertentes,São Paulo,84,3,3,2,470000.0,4866.355345911949,rua josé barbosa,rua josé barbosa,14402605.0,-20.5158428,-47.3518485,POINT (-47.3518485 -20.5158428),
Rua Iagari,Alto da Lapa,São Paulo,243,3,5,3,2400000.0,4548.972699127497,rua iagari,rua iagari,5084040.0,-23.5279911,-46.7215323,POINT (-46.7215323 -23.5279911),355030888000036.0
"Rua Júlio Rua Perez, 16 ",Campo Belo,São Paulo,145,4,3,2,1350000.0,4882.202252120503,rua júlio rua perez,rua júlio rua perez,4617030.0,-23.6234189,-46.6710974,POINT (-46.6710974 -23.6234189),355030815000119.0
"Rua Marechal Barbacena, 1392 ",Vila Regente Feijó,São Paulo,150,3,2,2,800000.0,6660.826032540675,rua marechal barbacena,rua marechal barbacena,3333000.0,-23.5552966,-46.5736157,POINT (-46.5736157 -23.5552966),355030801000106.0
"Rua Plínio Mota, 59 ",Vila Tolstoi,São Paulo,240,3,3,7,890000.0,13408.1742403872,rua plínio mota,rua plínio mota,3268050.0,-23.597993,-46.5280258,POINT (-46.5280258 -23.597993),355030876000246.0
"Rua Belarmino Cardoso de Andrade, 151 ",Terceira Divisão de Interlagos,São Paulo,167,3,4,2,630000.0,2611.214953271028,rua belarmino cardoso de andrade,rua belarmino cardoso de andrade,4809270.0,-23.5505199,-46.6333094,POINT (-46.6333094 -23.5505199),355030878000004.0
Rua Camberra,Vila Formosa,São Paulo,256,4,3,1,1063830.0,3620.072871811858,rua camberra,rua camberra,6680690.0,-23.5492651,-46.9331962,POINT (-46.9331962 -23.5492651),
,Vila Moinho Velho,São Paulo,220,4,3,2,750000.0,4458.333333333333,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Marechal Bitencourt,Jardim Paulista,São Paulo,360,4,5,4,1800000.0,2216.5697674418607,rua marechal bitencourt,rua marechal bitencourt,13904050.0,-22.7107722,-46.774572,POINT (-46.774572 -22.7107722),
,Jardim Guedala,São Paulo,354,4,6,4,2950000.0,5077.40014884644,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Pero Correia,Vila Mariana,São Paulo,250,3,3,1,1350000.0,2613.846153846154,rua pero correia,rua pero correia,4113040.0,-23.584853,-46.6231687,POINT (-46.6231687 -23.584853),355030890000113.0
Avenida Ouro Verde de Minas,Jardim Imperador (Zona Leste),São Paulo,186,3,3,2,750000.0,9107.272727272728,avenida ouro verde de minas,avenida ouro verde de minas,3937090.0,-23.5873981,-46.5028832,POINT (-46.5028832 -23.5873981),355030873000198.0
